05.03.2026                                                                                              Salida dinámica de lista                                                                                                                                                    1

05.03.2026				                                                                                                     Visualiz.partidas individuales del comprometido p.proyectos																	  1


		 A#o	Fecha doc.		Elem.PEP	Denominación del objeto	Acreedor	N#doc.ref.	Pos.	Material	Denominación	Cantidad	UM	    Val/MScCO	   Val/MonObj	MonIn	B	Descrip.cl.cst.	Texto breve de material	Usuario

		2026	04.03.2026		EEX-250008-01	EX-Reubicación estacion de desarme/repar		S135996285	   1		REUBICACION PUNTO DE DATOS, NEUMATICOS E	      0	UA	      931,48	      931,48	USD		Transfer to Asset Accounts		ALE_SRP
		2025	10.12.2025		EEX-250007-01	EX-C-Com Relocation (TBM, ASRS)	90030641	S135910295	   1		Construcción Nvo. Cecom TBM	      0	UA	   96.780,77	   96.780,77	USD		Transfer to Asset Accounts		ALE_SRP
		2025	12.06.2025		EEX-250000-01	EX-Preparatory entrapment point Prep MiX	602007986	S134988812	   1		FABRICACION E INSTALACION DE GUIA ENTRAD	      0	UA	    2.672,78	    2.672,78	USD		Transfer to Asset Accounts		ALE_SRP
		2026	03.03.2026		EEX-250034-01	EX-Reparacion Piping 16" Agua Blanda	601000681	8242347859	   1		Juego de broca metal Makita HSS1-13mm	      1	UN	      218,83	      218,83	USD		Transfer to Asset Accounts		ALE_SRP
		2026	03.03.2026		EEX-250034-01	EX-Reparacion Piping 16" Agua Blanda	601000681	8242347859	   2		Flujómetro Woltman 3" 40m3/h(max.80m3/h)	      1	UN	      514,04	      514,04	USD		Transfer to Asset Accounts		ALE_SRP
		2026	03.03.2026		EEX-250034-01	EX-Reparacion Piping 16" Agua Blanda	601000681	8242347859	   3		Soplete con manguera y chispero +gasMap	      1	UN	      197,93	      197,93	USD		Transfer to Asset Accounts		ALE_SRP
		2026	26.02.2026		EEX-250016-01	CAP-Aire acondicionado oficinas genera	90036079	8242344503	   1		ALINEACIÓN  & BALANCEO MOTOR Y VENTIL.	      1	UA	    1.933,58	    1.933,58	USD		Transfer to Asset Accounts		ALE_SRP
		2026	13.02.2026		EEX-250013-01	EX-Camaras de Vision Artificial Pruebas	90040728	8242339497	   1		Suministro e Instalación de Tablero Cáma	      1	UA	    1.883,73	    1.883,73	USD		Transfer to Asset Accounts		ALE_SRP
		2026	13.02.2026		EEX-250010-01	EX-Reubicacion estacion lubricado manual	602010111	8242339495	   1		Malla protecciones Cambio de badder / Lu	      1	UA	    1.142,51	    1.142,51	USD		Transfer to Asset Accounts		ALE_SRP
		2025	13.02.2026		EEX-250011-01	EX-Molds cleaning Shop Relocation	90018021	8242339481	   1		Rodadura Bridge crane Moldes	      1	UA	  168.935,53	  168.935,53	USD		Transfer to Asset Accounts		ALE_SRP
		2026	12.02.2026		EEX-250026-01	EX-Instalacion de sellos de bronce tefl	602009961	8242336512	   1		 REP. CIL. HDCO 50 X 28 X 400	      1	UA	    4.194,73	    4.194,73	USD		Transfer to Asset Accounts		ALE_SRP
		2026	12.02.2026		EEX-250026-01	EX-Instalacion de sellos de bronce tefl	602009961	8242336512	   2		REP. CIL. FUERZA CIERRE PRENSA HF	      1	UA	   13.785,67	   13.785,67	USD		Transfer to Asset Accounts		ALE_SRP
		2026	12.02.2026		EEX-250026-01	EX-Instalacion de sellos de bronce tefl	602009961	8242336512	   3		REP. CIL. APERTURA Y CIERRE PRENSAS HF	      1	UA	    9.196,36	    9.196,36	USD		Transfer to Asset Accounts		ALE_SRP
		2026	12.02.2026		EEX-250026-01	EX-Instalacion de sellos de bronce tefl	602009961	8242336512	   4		REP. CIL. DE ANILLO SUP. PRENSA HF	      1	UA	    2.818,38	    2.818,38	USD		Transfer to Asset Accounts		ALE_SRP
		2026	12.02.2026		EEX-250028-01	EX-Reparacion cubierta de techo policlin	602010912	8242336508	   1		Reparac. y mejoras en techo policlinico	      1	UA	   92.180,01	   92.180,01	USD		Transfer to Asset Accounts		ALE_SRP
		2026	10.02.2026		EEX-250007-01	EX-C-Com Relocation (TBM, ASRS)	602009757	8242335831	   1		Reubicación Sistema CCTV Cecom ASRS	      1	UA	    1.949,55	    1.949,55	USD		Transfer to Asset Accounts		ALE_SRP
		2026	09.02.2026		EEX-250010-01	EX-Reubicacion estacion lubricado manual	90016888	8242335301	   1		MONTAJE CUCHILLAS  CORTINA DE AIRE Y  CO	      1	UA	    5.039,94	    5.039,94	USD		Transfer to Asset Accounts		ALE_SRP
		2026	09.02.2026		EEX-250010-01	EX-Reubicacion estacion lubricado manual	90016888	8242335288	   1		DESARME DE ESTRUCTURA EN SECTOR  LUBRICA	      1	UA	    2.287,24	    2.287,24	USD		Transfer to Asset Accounts		ALE_SRP
		2026	06.02.2026		EEX-250011-01	EX-Molds cleaning Shop Relocation	602007320	8242334834	   1		Dise#o Arquitectura Mold CLeaning Shop	      1	UA	    1.812,20	    1.812,20	USD		Transfer to Asset Accounts		ALE_SRP
		2026	06.02.2026		EEX-250011-01	EX-Molds cleaning Shop Relocation	602007320	8242334819	   1		Dise#o refuerzo estructural Mold clean s	      1	UA	    4.966,50	    4.966,50	USD		Transfer to Asset Accounts		ALE_SRP
