11.02.2026         Salida dinámica de lista                                                              1


		Objeto	Denominación del objeto	Creado	Registrado	  Valor/Mon.tr.	MonT

		LCP-100182	23 DEVELOPMENT MOLDS FROM NAT PROJECT 3	NSA1896	24.04.2013	    437.630,00	USD

	*	Ejercicio 2013				    437.630,00	USD

		LCP-100182-04	RACK TO STORAGE MOLDS	NSA1896	24.04.2013	    128.400,00	USD

	*	Ejercicio 2013				    128.400,00	USD

		LCP-100182-07	TEST TIRE EQUIPMENT TO FVM	NSA1896	24.04.2013	    309.230,00	USD

	*	Ejercicio 2013				    309.230,00	USD

		LCP-100182-BV	MOLDS TRANSFERENCE FROM NAT	NSA1896	24.04.2013	  8.885.263,00	USD

	*	Ejercicio 2013				  8.885.263,00	USD

		LCP-100182-BV-01	MOLDS TRANSFERENCE FROM NAT	NSA1896	24.04.2013	  8.314.328,00	USD

	*	Ejercicio 2013				  8.314.328,00	USD

		LCP-100182-BV-02	16 NEW MOLDS FOR NAT PRODUCT.	NSA1896	24.04.2013	    570.935,00	USD

	*	Ejercicio 2013				    570.935,00	USD

		LCP-100182-EX	CURING EQUIPMENT	NSA1896	24.04.2013	  4.638.659,00	USD

	*	Ejercicio 2013				  4.638.659,00	USD

		LCP-100182-EX-01	CURING EQUIPMENT	NSA1896	24.04.2013	  3.116.120,00	USD

	*	Ejercicio 2013				  3.116.120,00	USD

		LCP-100182-EX-02	BUILDING EQUIPMENT	NSA1896	24.04.2013	    287.350,00	USD

	*	Ejercicio 2013				    287.350,00	USD

		LCP-100182-EX-03	PREPARATION EQUIPMENT	NSA1896	24.04.2013	    868.745,00	USD

	*	Ejercicio 2013				    868.745,00	USD

		LCP-100182-EX-04	TEST TIRE EQUIPMENT TO RESILIO	NSA1896	24.04.2013	    343.975,00	USD

	*	Ejercicio 2013				    343.975,00	USD

		LCP-100182-EX-05	TESTING NEW PRODUCTS	NSA1896	24.04.2013	     22.469,00	USD

	*	Ejercicio 2013				     22.469,00	USD

		LCP-100432	FIRE SPRINKLER PROTECTION SYSTEM-CHILE	NSA1896	24.04.2013	  2.459.817,00	USD

	*	Ejercicio 2013				  2.459.817,00	USD

		LCP-100432-EX	FIRE SPRINKLER PROTECTION SYSTEM-CHILE	NSA1896	24.04.2013	    221.400,00	USD

	*	Ejercicio 2013				    221.400,00	USD

		LCP-101043	MIXERN1 - CHILE	NSA1896	24.04.2013	 10.501.342,00	USD
		LCP-101043	MIXERN1 - CHILE	AA17268	29.08.2013	-525.000,00	USD
		LCP-101043	MIXERN1 - CHILE	A388248	29.04.2014	-1.217.000,00	USD

	*	Ejercicio 2013				  8.759.342,00	USD

		LCP-101043	MIXERN1 - CHILE	AA04148	24.04.2014	    525.000,00	USD

	*	Ejercicio 2014				    525.000,00	USD

		LCP-101043-EX	MIXERN1 - CHILE	NSA1896	24.04.2013	    845.343,00	USD

	*	Ejercicio 2013				    845.343,00	USD

		LCP-101045	MIXERN2- CHILE	NSA1896	24.04.2013	 11.593.067,00	USD
		LCP-101045	MIXERN2- CHILE	AA17268	29.08.2013	    525.000,00	USD
		LCP-101045	MIXERN2- CHILE	A388248	24.04.2014	-525.000,00	USD
		LCP-101045	MIXERN2- CHILE	A388248	29.04.2014	     63.000,00	USD
		LCP-101045	MIXERN2- CHILE	A388248	29.04.2014	-126.000,00	USD

	*	Ejercicio 2013				 11.530.067,00	USD

		LCP-101045-EX	MIXERN2- CHILE	NSA1896	24.04.2013	    467.270,00	USD

	*	Ejercicio 2013				    467.270,00	USD

		LCP-101076	MIXERN3 - CHILE	NSA1896	24.04.2013	  9.615.975,42	USD

	*	Ejercicio 2013				  9.615.975,42	USD

		LCP-101076-EX	MIXERN3 - CHILE	NSA1896	24.04.2013	    995.557,00	USD

	*	Ejercicio 2013				    995.557,00	USD

		LCP-110119	NEW LAB EQUIPMENT	NSA1896	24.04.2013	     60.000,00	USD

	*	Ejercicio 2013				     60.000,00	USD

		LCP-110119-01	NEW 10 KN DYNAMOMETER	NSA1896	24.04.2013	     38.500,00	USD

	*	Ejercicio 2013				     38.500,00	USD

		LCP-110119-02	MF-50 MOISTURE AUTOMATIC ANALY	NSA1896	24.04.2013	      3.850,00	USD

	*	Ejercicio 2013				      3.850,00	USD

		LCP-110119-03	SAMPLE CUTTER 10G	NSA1896	24.04.2013	      9.497,00	USD

	*	Ejercicio 2013				      9.497,00	USD

		LCP-110119-04	T/D/F	NSA1896	24.04.2013	      5.085,00	USD

	*	Ejercicio 2013				      5.085,00	USD

		LCP-110119-05	CONTINGENCIES 8%	NSA1896	24.04.2013	      3.068,00	USD

	*	Ejercicio 2013				      3.068,00	USD

		LCP-110126	(46)FM MOLDS&SIDEWALLS SETS WAVE 4 PART4	NSA1896	24.04.2013	  1.321.274,00	USD

	*	Ejercicio 2013				  1.321.274,00	USD

		LCP-110126-02	TRANSFERENCIA MOLDES NUEVOS	NSA1896	24.04.2013	    369.114,00	USD

	*	Ejercicio 2013				    369.114,00	USD

		LCP-110126-05	RACK STORAGE	NSA1896	24.04.2013	     21.400,00	USD

	*	Ejercicio 2013				     21.400,00	USD

		LCP-110126-06	EQUIPOS DE CONSTRUCCION	NSA1896	24.04.2013	    858.000,00	USD

	*	Ejercicio 2013				    858.000,00	USD

		LCP-110126-09	FVM RING	NSA1896	24.04.2013	     72.760,00	USD

	*	Ejercicio 2013				     72.760,00	USD

		LCP-110126-BV	TRANSFERENCIA MOLDES	NSA1896	24.04.2013	    496.592,00	USD

	*	Ejercicio 2013				    496.592,00	USD

		LCP-110126-BV-01	TRANSFERENCIA MOLDES	NSA1896	24.04.2013	    496.592,00	USD

	*	Ejercicio 2013				    496.592,00	USD

		LCP-110126-EX	GASTOS TRANSFERENCIA MOLDES	NSA1896	24.04.2013	    965.717,00	USD

	*	Ejercicio 2013				    965.717,00	USD

		LCP-110126-EX-01	GASTOS TRANSFERENCIA MOLDES	NSA1896	24.04.2013	    173.211,00	USD

	*	Ejercicio 2013				    173.211,00	USD

		LCP-110126-EX-02	REWORK MOLDS	NSA1896	24.04.2013	    642.813,00	USD

	*	Ejercicio 2013				    642.813,00	USD

		LCP-110126-EX-03	CENTER SLEEVES	NSA1896	24.04.2013	     12.840,00	USD

	*	Ejercicio 2013				     12.840,00	USD

		LCP-110126-EX-04	PREPARACION DE EQUIPOS	NSA1896	24.04.2013	     92.127,00	USD

	*	Ejercicio 2013				     92.127,00	USD

		LCP-110126-EX-05	LABORATORIO	NSA1896	24.04.2013	     40.232,00	USD

	*	Ejercicio 2013				     40.232,00	USD

		LCP-110126-EX-06	TESTING NEW PRODUCTS	NSA1896	24.04.2013	      4.494,00	USD

	*	Ejercicio 2013				      4.494,00	USD

		LCP-110145	(60)FM MOLDS&SIDEWALLS SETS WAVE 4 PART	NSA1896	24.04.2013	  1.174.160,00	USD

	*	Ejercicio 2013				  1.174.160,00	USD

		LCP-110145-04	RACKS STORAGE	NSA1896	24.04.2013	     21.400,00	USD

	*	Ejercicio 2013				     21.400,00	USD

		LCP-110145-05	EQUIPOS DE CONSTRUCCION	NSA1896	24.04.2013	  1.080.000,00	USD

	*	Ejercicio 2013				  1.080.000,00	USD

		LCP-110145-08	FVM RING	NSA1896	24.04.2013	     72.760,00	USD

	*	Ejercicio 2013				     72.760,00	USD

