05.03.2026  Salida dinámica de lista                                                       1


		Objeto	Denominación del objeto	Creado	Registrado	Valor/Mon.tr.	MonT

		EEX-240000	EX-Cambio Duct Eqs AC S. Social y P Grua	AA18610	25.01.2024	   50.000,00	USD

	*	Ejercicio 2024				   50.000,00	USD

		EEX-240003	EX-Upgrade AACC Units for Extruder & ASR	AA18610	12.03.2024	  100.000,00	USD

	*	Ejercicio 2024				  100.000,00	USD

		EEX-240004	EX-Upgrade AACC Units for TBM	AA18610	12.03.2024	  100.000,00	USD

	*	Ejercicio 2024				  100.000,00	USD

		EEX-240005	EX-Ruedas Ergonomicas Carros Apexer	AA18610	02.04.2024	  125.000,00	USD
		EEX-240005	EX-Ruedas Ergonomicas Carros Apexer	AA18610	23.07.2024	   10.000,00	USD
		EEX-240005	EX-Ruedas Ergonomicas Carros Apexer	AA18610	23.07.2024	-5.000,00	USD
		EEX-240005	EX-Ruedas Ergonomicas Carros Apexer	AA18610	07.08.2024	    7.487,00	USD

	*	Ejercicio 2024				  137.487,00	USD

		EEX-240007	EX-Critical Entrapment Points Div B	AA18610	09.04.2024	  150.000,00	USD
		EEX-240007	EX-Critical Entrapment Points Div B	AE04807	24.10.2025	-23.727,00	USD

	*	Ejercicio 2024				  126.273,00	USD

		EEX-240008	EX-Normalizar trabajos eléc. y mecá DivA	AA18610	15.04.2024	   25.000,00	USD

	*	Ejercicio 2024				   25.000,00	USD

		EEX-240009	EX-Cambio piping suministros generales	AA18610	18.04.2024	  100.000,00	USD
		EEX-240009	EX-Cambio piping suministros generales	AA18610	14.11.2024	    9.990,00	USD

	*	Ejercicio 2024				  109.990,00	USD

		EEX-240010	EX-Nuevos spool breaker -area steelastic	AA18610	06.05.2024	  100.000,00	USD

	*	Ejercicio 2024				  100.000,00	USD

		EEX-240011	EX-Modificación de seguridad carros ntco	AA18610	22.05.2024	   25.000,00	USD

	*	Ejercicio 2024				   25.000,00	USD

