05.03.2026                             Salida dinámica de lista                                                                                   1


		Elemento PEP	Denominación del objeto	Texto de pedido		   Val/MonObj	MonO	Doc.compr.	Usuario	Fe.contab.

		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Conexión Equipos AC Ductos Sede Social		    7.234,51	USD	8241723071	AC15848	26.02.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Conexión Equipos AC Ductos Sede Social		    3.109,65	USD	8241723071	AC15848	29.02.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Conexión Equipos AC Ductos Sede Social		       78,25	USD	8241723071	AC77311	29.02.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Conexión Equipos AC Ductos Sede Social		      103,65	USD	8241723071	AC77311	14.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			    4.412,42	USD		ZA35674	14.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			    4.412,42	USD		ZA81613	16.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			    2.555,29	USD		ZA46317	19.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			   10.030,14	USD		ZA46317	19.03.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Canalización Cableado Aéreo Puente		    4.880,62	USD	8241728291	AC15848	22.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			-4.412,42	USD		ZA47750	25.03.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM			-4.412,42	USD		ZA47750	25.03.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR			    8.824,84	USD		ZA81615	25.03.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua	Canalización Cableado Aéreo Puente		-52,17	USD	8241728291	AC77311	28.03.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer			        1,65	USD		ZA81615	03.04.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	Cambio equipo AC		    3.261,55	USD	8241798254	AA21351	12.04.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3179801		   18.698,64	USD	8241805039	AC44147	18.04.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	Cambio equipo AC		-37,45	USD	8241798254	AC77311	19.04.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Planimetria para guardas polines		      417,10	USD	8241809758	AC13779	23.04.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       52,65	USD		ZA81613	23.04.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       30,15	USD		ZA81613	23.04.2024
		EEX-240005-01	EX-Ruedas Ergonomicas Carros Apexer			    1.329,81	USD		ZA35674	24.04.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3179801		      473,84	USD	8241805039	AC77311	24.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			    2.312,00	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			    3.999,40	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			      107,43	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			        0,08	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			        0,04	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			        0,02	USD		ZA81613	25.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales			        0,02	USD		ZA81613	25.04.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3186930		   18.734,76	USD	8241791818	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula 3" clase 150 conpuerta		      836,89	USD	8241811597	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvulas 4" mariposa clase 150 LUG		      381,00	USD	8241811597	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula compuerta 2" clase 150		      628,84	USD	8241811597	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula compuerta 4" clase 160		      557,91	USD	8241811597	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula de compuerta 6" clase 150		    1.000,29	USD	8241811597	AC44147	29.04.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Válvula de compuerta 3" clase 300		    1.731,75	USD	8241811597	AC44147	29.04.2024
